shape,seed,stat,ai
unimodal,13,variance,-0.05075187969924802
unimodal,13,kurtosis,0.2452531645569622
unimodal,14,mean,0.4930167597765362
unimodal,14,variance,-0.26470588235294107
unimodal,14,kurtosis,0.3297101449275363
unimodal,15,mean,0.5164835164835161
unimodal,15,variance,-0.14285714285714285
unimodal,15,kurtosis,0.0067567567567566105
unimodal,16,mean,0.5365853658536586
unimodal,16,variance,0.24761904761904735
unimodal,16,kurtosis,-0.40000000000000013
unimodal,17,mean,0.5416666666666667
unimodal,17,variance,0.1811594202898551
unimodal,17,kurtosis,0.011666666666666714
unimodal,18,mean,0.6354748603351954
unimodal,18,variance,0.10749999999999993
unimodal,18,kurtosis,-0.03662420382165613
unimodal,19,mean,0.5
unimodal,19,variance,0.33999999999999986
unimodal,19,kurtosis,-0.09347826086956516
unimodal,20,mean,0.5110759493670888
unimodal,20,variance,0.04487179487179506
unimodal,20,kurtosis,-0.2500000000000002
unimodal,21,mean,0.6073446327683615
unimodal,21,variance,-0.003355704697986655
unimodal,21,kurtosis,0.1292134831460672
unimodal,22,mean,0.5312500000000001
unimodal,22,variance,-0.46296296296296313
unimodal,22,kurtosis,-0.0500000000000001
unimodal,23,mean,0.6019553072625698
unimodal,23,variance,-0.004854368932038732
unimodal,23,kurtosis,0.145973154362416
unimodal,24,mean,0.44198895027624296
unimodal,24,variance,0.06285714285714279
unimodal,24,kurtosis,0.12499999999999956
unimodal,25,mean,0.302857142857143
unimodal,25,variance,-0.18478260869565205
unimodal,25,kurtosis,-0.03191489361702138
unimodal,26,mean,0.4999999999999997
unimodal,26,variance,-0.19999999999999982
unimodal,26,kurtosis,0.15527950310559002
unimodal,27,mean,0.664705882352941
unimodal,27,variance,-0.2545045045045046
unimodal,27,kurtosis,-0.1346153846153843
unimodal,28,mean,0.42057291666666663
unimodal,28,variance,-0.03181818181818195
unimodal,28,kurtosis,-0.1987704918032788
unimodal,29,mean,0.7931937172774867
unimodal,29,variance,-0.043918918918918894
unimodal,29,kurtosis,0.11091549295774628
unimodal,30,mean,0.6337499999999998
unimodal,30,variance,-0.3082524271844658
unimodal,30,kurtosis,0.06761006289308169
unimodal,31,mean,0.6418918918918921
unimodal,31,variance,-0.06681034482758615
unimodal,31,kurtosis,0.17574257425742598
unimodal,32,mean,0.743489583333333
unimodal,32,variance,0.33050847457627125
unimodal,32,kurtosis,0.07051282051282073
unimodal,33,mean,0.4500000000000002
unimodal,33,variance,0.03691275167785246
unimodal,33,kurtosis,-0.01470588235294108
unimodal,34,mean,0.6250000000000001
unimodal,34,variance,-0.028455284552845475
unimodal,34,kurtosis,0.009174311926605307
